key,species,scientificName,acceptedScientificName,taxonomicStatus,basisOfRecord,eventDate,year,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,recordedBy,recordNumber,institutionCode,collectionCode,catalogNumber,typeStatus,identifiedBy,datasetName,datasetKey,occurrenceID,references,issues,media
1055870528,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,SB,,,-8.072,159.278,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050409,,Dan H. Nicolson,,7e380070-f762-11e1-a439-00145eb45e9a,624b72d9-246e-4cdb-a838-d2f701550312,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1055894604,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,CF,,,,,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050405,,Dan H. Nicolson,,7e380070-f762-11e1-a439-00145eb45e9a,b4c53b79-f3b1-42bd-aa98-63c8f11e166b,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1056157200,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,,,Tropical Africa,,,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050408,,Anon.,,7e380070-f762-11e1-a439-00145eb45e9a,bec61eff-1589-4764-98e9-eed321f785b4,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1056605117,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,GA,,,-0.590945,11.797237,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050402,,Dan H. Nicolson,,7e380070-f762-11e1-a439-00145eb45e9a,69055d8e-0965-4a22-a432-6575166652eb,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1056772016,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,SB,,,-8.072,159.278,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050410,,Dan H. Nicolson,,7e380070-f762-11e1-a439-00145eb45e9a,749f2fb1-f5ba-41e8-bc55-4e79fd03cde0,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1057033717,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,CF,,,,,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050404,,Dan H. Nicolson,,7e380070-f762-11e1-a439-00145eb45e9a,dc4b8f3c-8563-4e44-9896-8975d85bd826,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1057096612,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,GA,,,-0.590945,11.797237,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050403,,Dan H. Nicolson,,7e380070-f762-11e1-a439-00145eb45e9a,394cf8a9-b6c7-4112-b587-6fd5f46a7318,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
2517623821,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1925-09-15,1925,ID,,"Ned. Indie. S.O.K., Namoe Oekoer.",,,,,Jeswiet J,"Jeswiet, J 1462",,Botany,WAG.1665994,,,,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1665994,,,https://medialib.naturalis.nl/file/id/WAG.1665994/format/large
2515945903,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1928-07-23,1928,ZZ,,Australië-Nieuw Guinee. Bank boven Everill Junction (at Fly).,,,,,Jeswiet J,"Jeswiet, J 142",,Botany,WAG.1665992,,,,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1665992,,,https://medialib.naturalis.nl/file/id/WAG.1665992/format/large
2515958585,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1928-07-23,1928,ZZ,,Australië-Nieuw Guinee. Bank boven Everill Junction (at Fly).,,,,,Jeswiet J,"Jeswiet, J 142",,Botany,WAG.1665993,,,,15f819bd-6612-4447-854b-14d12ee1022d,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1665993,,,https://medialib.naturalis.nl/file/id/WAG.1665993/format/large
