scientificName,typeStatus,institutionCode,catalogNumber,recordedBy,recordNumber,year,locality,country,media_url,media_license,media_rightsHolder,gbif_occurrence,file,status
Cyrtosperma johnstonii (W.Bull ex T.Moore & Mast.) N.E.Br.,Lectotype,K,K000499263,s.coll.,n.s.,,,Solomon Islands,https://d2jcv3kl45hlgi.cloudfront.net/aa3e5cb64a19008034b696d7b1cfaed1.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912416171,Cyrtosperma-johnstonii-W-Bull-ex-T-Moore-Mast-N-E-Br-K-K000499263-1.jpg,downloaded image/jpeg
Cyrtosperma johnstonii (W.Bull ex T.Moore & Mast.) N.E.Br.,Lectotype,K,K000499263,s.coll.,n.s.,,,Solomon Islands,https://d2jcv3kl45hlgi.cloudfront.net/95d858889995b6ac7e37fc5facc23c75.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912416171,Cyrtosperma-johnstonii-W-Bull-ex-T-Moore-Mast-N-E-Br-K-K000499263-2.jpg,downloaded image/jpeg
Cyrtosperma kokodense A.Hay,Holotype,,L  0041895,Carr CE,"Carr, CE 16194",1936,Papua Kokoda,Papua New Guinea,https://medialib.naturalis.nl/file/id/L0041895_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513105064,Cyrtosperma-kokodense-A-Hay--L-0041895-1.jpg,downloaded image/jpeg
Cyrtosperma kokodense A.Hay,Holotype,,L  0041896,Carr CE,"Carr, CE 16194",1936,Papua Kokoda,Papua New Guinea,https://medialib.naturalis.nl/file/id/L0041896_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513105135,Cyrtosperma-kokodense-A-Hay--L-0041896-1.jpg,downloaded image/jpeg
Cyrtosperma macrotum Becc. ex Engl.,Type,,L  0041897,Janowski RF,"Janowski, RF 489",1913,Eiland Koeroedoe (Noord N Guinea),Indonesia,https://medialib.naturalis.nl/file/id/L0041897_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513105553,Cyrtosperma-macrotum-Becc-ex-Engl--L-0041897-1.jpg,downloaded image/jpeg
Cyrtosperma macrotum Becc. ex Engl.,Type,,L  0041898,Versteeg GM,"Versteeg, GM 408",1907,Nova Guinea neerlandica meridionalis.,Indonesia,https://medialib.naturalis.nl/file/id/L0041898_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513105531,Cyrtosperma-macrotum-Becc-ex-Engl--L-0041898-1.jpg,downloaded image/jpeg
Cyrtosperma macrotum Becc. ex Engl.,Type,K,K000291749,"Versteeg, G.M.",1108,1907,,Indonesia,https://d2jcv3kl45hlgi.cloudfront.net/ce9036d48244ab46fa688c5631f2bd14.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912257153,Cyrtosperma-macrotum-Becc-ex-Engl-K-K000291749-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,,L  0041901,Unknown,Unknown s.n.,,Borneo,Indonesia,https://medialib.naturalis.nl/file/id/L0041901_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513103262,Cyrtosperma-merkusii-Hassk-Schott--L-0041901-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,,L  0041899,Unknown,Unknown s.n.,,Sumatra,Indonesia,https://medialib.naturalis.nl/file/id/L0041899_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513103302,Cyrtosperma-merkusii-Hassk-Schott--L-0041899-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,,L  0041902,Unknown,Unknown s.n.,,Borneo,Indonesia,https://medialib.naturalis.nl/file/id/L0041902_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513104217,Cyrtosperma-merkusii-Hassk-Schott--L-0041902-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,,L  0041900,Unknown,Unknown s.n.,,Borneo,Indonesia,https://medialib.naturalis.nl/file/id/L0041900_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513106347,Cyrtosperma-merkusii-Hassk-Schott--L-0041900-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,K,K000499253,"Seemann, B.",653,1860,Vulgo Via Kana,Fiji,https://d2jcv3kl45hlgi.cloudfront.net/01d77962fc15689ed1e637f6b6e29113.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912415904,Cyrtosperma-merkusii-Hassk-Schott-K-K000499253-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,K,K000291747,Griffith,5950,,,Malaysia,https://d2jcv3kl45hlgi.cloudfront.net/9dc6c16286a7f8f8589926c6792e319f.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912257109,Cyrtosperma-merkusii-Hassk-Schott-K-K000291747-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Type,K,K000291748,s.coll.,s.n.,,,,https://d2jcv3kl45hlgi.cloudfront.net/830e176409c9b8ed7ffbb6004757d8cf.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912257176,Cyrtosperma-merkusii-Hassk-Schott-K-K000291748-1.jpg,downloaded image/jpeg
Cyrtosperma merkusii (Hassk.) Schott,Isotype,NHMUK,BM000990193,Berthold Carl Seemann,s.n.,1861,,Fiji,https://data.nhm.ac.uk/media/34aa63b5-5205-432e-b033-413b9b67a439,http://creativecommons.org/licenses/by/4.0/,"The Trustees of the Natural History Museum, London",https://www.gbif.org/occurrence/1056612561,Cyrtosperma-merkusii-Hassk-Schott-NHMUK-BM000990193-1.jpg,downloaded image/jpeg
