title,url,repository,cited_by_count,cited_by_taxa
Alan Galloway,https://alangallowaybotanicals.com/plants/aroids/amorphophallus/id/cicatricifer/,alangallowaybotanicals.com,1,AMORPHOPHALLUS CICATRICIFER
Alan Galloway,https://alangallowaybotanicals.com/plants/aroids/amorphophallus/id/cirrifer/,alangallowaybotanicals.com,1,AMORPHOPHALLUS CIRRIFER
Alan Galloway,https://alangallowaybotanicals.com/plants/aroids/amorphophallus/id/claudelii/,alangallowaybotanicals.com,1,AMORPHOPHALLUS CLAUDELII
Alan Galloway,https://alangallowaybotanicals.com/plants/aroids/amorphophallus/id/coaetaneus/,alangallowaybotanicals.com,1,AMORPHOPHALLUS COAETANEUS
Alan Galloway,https://alangallowaybotanicals.com/plants/aroids/amorphophallus/id/commutatus/,alangallowaybotanicals.com,1,AMORPHOPHALLUS COMMUTATUS
Alan Galloway,https://alangallowaybotanicals.com/plants/aroids/amorphophallus/id/consimilis/,alangallowaybotanicals.com,1,AMORPHOPHALLUS CONSIMILIS
Llifle,https://llifle.com/Encyclopedia/BULBS/Family/Araceae/33463/Amorphophallus_bulbifer,llifle.com,1,AMORPHOPHALLUS BULBIFER
Monographiae Phanerogamarum V.2 (1879) P.319,http://www.biodiversitylibrary.org/page/31869983,biodiversitylibrary.org,1,AMORPHOPHALLUS COMMUTATUS
"Nordic Journal of Botany Volume 38, Issue 11",https://nsojournals.onlinelibrary.wiley.com/doi/epdf/10.1111/njb.02982,nsojournals.onlinelibrary.wiley.com,1,AMORPHOPHALLUS CAUDATUS
Notulae Systematicae V.9 (1941) P.118,https://www.biodiversitylibrary.org/page/6525695,biodiversitylibrary.org,1,AMORPHOPHALLUS BREVISPATHUS
Das Pflanzenreich V.48 (1911) P.79,https://www.biodiversitylibrary.org/page/20872512,biodiversitylibrary.org,1,AMORPHOPHALLUS BORNEENSIS
Das Pflanzenreich V.48 (1911) P.93,https://www.biodiversitylibrary.org/page/20872526,biodiversitylibrary.org,1,AMORPHOPHALLUS CARNOSUS
Phytotaxa 489 (2021) P.230,https://www.researchgate.net/publication/349762685_Amorphophallus_calcicolus_Thomsonieae_Araceae_a_new_species_from_the_Bohol_island_Central_Visayas_Philippines,researchgate.net,1,AMORPHOPHALLUS CALCICOLUS
Phytotaxa V.270 (2016) P.155,http://dx.doi.org/10.11646/phytotaxa.270.2.8,dx.doi.org,1,AMORPHOPHALLUS BUBENENSIS
"Plantae Bequartianae; études sur les récoltes botaniques du Dr. J. Bequaert, chargé de missions au Congo Belge (1913-1915) P. 174",https://www.biodiversitylibrary.org/page/62154763,biodiversitylibrary.org,1,AMORPHOPHALLUS BEQUAERTII
"Rheedea V.10 (2000) P.63-67: Rediscovery of Amorphophallus carnosus (Araceae), a rare and narrow endemic species from South Andaman, India",https://rheedea.in/storages/submission/file/1530790455.pdf,rheedea.in,1,AMORPHOPHALLUS CARNOSUS
Aroideana 32 (2009) P.136,https://www.aroid.org/aroideana/aroideana-v32,aroid.org,1,AMORPHOPHALLUS BOGNERIANUS
Aroideana 35 (2012) P.53,https://www.aroid.org/aroideana/aroideana-v35,aroid.org,1,AMORPHOPHALLUS BOLIKHAMXAYENSIS
Aroideana 35 (2012) P.54,https://www.aroid.org/resources/Publications/Aroideana/Aroideana35.pdf,aroid.org,1,AMORPHOPHALLUS BREVIPETIOLATUS
Aroideana 38 (2015) P.3,https://www.aroid.org/aroideana/aroideana-v38,aroid.org,1,AMORPHOPHALLUS CLAUDELII
Rumphia 1: 149 (1837),http://www.biodiversitylibrary.org/page/41039971,biodiversitylibrary.org,1,AMORPHOPHALLUS CONSIMILIS
"Rumphia, sive, Commentationes botanicae imprimis de plantis Indiae Orientalist V.1 (1835) P. 148",https://www.biodiversitylibrary.org/item/127618#page/158/mode/1up,biodiversitylibrary.org,1,AMORPHOPHALLUS BULBIFER
A Taxonomic Revision of Amorphophallus Blume ex Decne. Sect. Conophallus (Schott) Engl. (Araceae) in India,https://www.researchgate.net/publication/236615696_A_Taxonomic_Revision_of_Amorphophallus_Blume_ex_Decne_Sect_Conophallus_Schott_Engl_Araceae_in_India?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoiX2RpcmVjdCJ9fQ,researchgate.net,2,AMORPHOPHALLUS BOGNERIANUS; AMORPHOPHALLUS COMMUTATUS
Willdenowia 27 (1997) P.150,https://www.jstor.org/stable/3997194,jstor.org,1,AMORPHOPHALLUS CANALICULATUS
