title,url,repository,cited_by_count,cited_by_taxa
Enumeratio plantarum omnium hucusque cognitarum v.3 P.41 (1841),https://www.biodiversitylibrary.org/page/7414294,biodiversitylibrary.org,1,ALOCASIA FORNICATA
Exotic Rainforest,https://www.exoticrainforest.com/Alocasia%20zebrina%20pc.html,exoticrainforest.com,2,ALOCASIA ZEBRINA ‘RETICULATA’; ALOCASIA ZEBRINA ‘TIGRINA’
Flora cochinchinensis T.2 P.536 (1790),https://www.biodiversitylibrary.org/page/654229,biodiversitylibrary.org,1,ALOCASIA CUCULLATA
Flora Hongkongensis (1861) P.343,https://www.biodiversitylibrary.org/page/18413588,biodiversitylibrary.org,1,ALOCASIA INDICA**
The Flora of British India (UK) V.6 (1894) Page 527,https://www.biodiversitylibrary.org/page/18708409,biodiversitylibrary.org,2,ALOCASIA ACUMINATA; ALOCASIA FALLAX
The Flora of British India v.6: 526 (1894),https://www.biodiversitylibrary.org/page/18708408,biodiversitylibrary.org,1,ALOCASIA FORNICATA
A Flora of Manila P.132 (1912),https://www.biodiversitylibrary.org/bibliography/10789,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
Flora van Nederlandsch Indie v.3 (1856) P. 207,https://www.biodiversitylibrary.org/page/4861591,biodiversitylibrary.org,1,ALOCASIA LONGILOBA
Flore des serres et des jardins de l’Europe v.17 (1867-68) P. 168,https://www.biodiversitylibrary.org/page/27764849,biodiversitylibrary.org,1,ALOCASIA LONGILOBA
"Flore générale de l'Indo-Chine (France) Gagnepain, François; Humbert, H.; Lecomte, Henri t. 6 (1942) Page 1148",https://www.biodiversitylibrary.org/page/39218786,biodiversitylibrary.org,2,ALOCASIA DECUMBENS; ALOCASIA HAINANICA
Flore générale de l'Indo-Chine (France) v6 (1942) Page 1150,https://www.biodiversitylibrary.org/page/60749800,biodiversitylibrary.org,1,ALOCASIA EVRARDII
Flore générale de l'Indo-Chine (v.6: P.1151),https://www.biodiversitylibrary.org/page/60749801,biodiversitylibrary.org,1,ALOCASIA LECOMTEI
Gard. Bull. Singapore 50: 270 (1998),https://www.biodiversitylibrary.org/page/43660575,biodiversitylibrary.org,1,ALOCASIA WONGII
Gard. Bull. Singapore 50: 292 (1998),https://www.biodiversitylibrary.org/page/43660597,biodiversitylibrary.org,1,ALOCASIA FLEMINGIANA
Gard. Bull. Singapore 58: 142 (2007),https://www.biodiversitylibrary.org/page/43572760,biodiversitylibrary.org,1,ALOCASIA CHAII
The Garden's Bulleting Singapore 51: 29 (1999),https://www.biodiversitylibrary.org/page/43578419,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
The Garden's Bulleting Singapore 51: 9 (1999),https://archive.org/details/gardensbulletins451unse/page/n7/mode/2up,archive.org,1,ALOCASIA BOYCEANA
The Garden: an illustrated weekly journal of gardening in all its branches V.16 P216 (1879),https://www.biodiversitylibrary.org/page/26851623,biodiversitylibrary.org,1,ALOCASIA SCABRIUSCULA
The Garden: an illustrated weekly journal of gardening in all its branches V.16 P232 (1879),https://www.biodiversitylibrary.org/page/26851639,biodiversitylibrary.org,1,ALOCASIA SCABRIUSCULA
The Gardener's Chronicle V.24 P.678 (1885),https://www.biodiversitylibrary.org/page/26055148,biodiversitylibrary.org,1,ALOCASIA SINUATA
The Gardeners' chronicle :a weekly illustrated journal of horticulture and allied subjects (Ser.3:v.23:243) (1891),https://www.biodiversitylibrary.org/page/25903255,biodiversitylibrary.org,1,ALOCASIA LAUTERBACHIANA
The Gardeners' chronicle and agricultural gazette (1862),https://www.biodiversitylibrary.org/page/32988702,biodiversitylibrary.org,1,ALOCASIA ZEBRINA
The Gardeners' chronicle ser.3 v.51. Supplement XVI (1912),https://www.biodiversitylibrary.org/page/32864955,biodiversitylibrary.org,1,ALOCASIA MICHOLITZIANA
"The Gardeners' chronicle, ser. 3, 8: 38 (1890)",https://www.biodiversitylibrary.org/page/25924618,biodiversitylibrary.org,1,ALOCASIA REVERSA
The Gardeners' chronicle: a weekly illustrated journal of horticulture and allied subjects 21: 711 (1884),https://www.biodiversitylibrary.org/page/26110555,biodiversitylibrary.org,1,ALOCASIA REGINAE
The Gardeners' chronicle: a weekly illustrated journal of horticulture and allied subjects V.12 P.296 (1879),https://www.biodiversitylibrary.org/page/26046478,biodiversitylibrary.org,1,ALOCASIA SCABRIUSCULA
The Gardeners' chronicle: a weekly illustrated journal of horticulture and allied subjects v24 P.183 (1885),https://www.biodiversitylibrary.org/page/26054647,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
The gardening world illustrated v.1 (1885) P.341,https://www.biodiversitylibrary.org/page/58970770,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
The gardening world illustrated v.10 (1893-1894) P.405,https://www.biodiversitylibrary.org/page/58968730,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
The Gardens' Bulletin Singapore,https://archive.org/details/gardensbulletins451unse/page/12/mode/2up,archive.org,1,ALOCASIA CLYPEOLATA
Gardens' Bulletin Singapore 50:286 (1998),https://www.biodiversitylibrary.org/page/43660591,biodiversitylibrary.org,1,ALOCASIA INORNATA
Gardens' Bulletin Singapore 58: 145 (2007),https://www.biodiversitylibrary.org/page/43572764,biodiversitylibrary.org,1,ALOCASIA INFERNALIS
The Gardens' bulletin Singapore: Alocasia in West Malesia and Sulawesi,https://www.biodiversitylibrary.org/page/43660618,biodiversitylibrary.org,1,ALOCASIA CELEBICA
"The Gardens' bulletin, Singapore [ser.4]:V50 P320",https://www.biodiversitylibrary.org/page/43660625,biodiversitylibrary.org,1,ALOCASIA MINUSCULA
"The Gardens' Bulleting, Singapore: The genus Alocasia in West Malesia and Sulawesi ser 4:v.50 Page 291",https://www.biodiversitylibrary.org/page/43660596,biodiversitylibrary.org,1,ALOCASIA BALGOOYI
"The Gardens' Bulleting, Singapore: The genus Alocasia in West Malesia and Sulawesi ser 4:v.50 Page 318",https://www.biodiversitylibrary.org/page/43660623,biodiversitylibrary.org,1,ALOCASIA BECCARII
The Gardens’ Bulletin Singapore 50 (1998) P.299,https://www.biodiversitylibrary.org/page/43660604,biodiversitylibrary.org,1,ALOCASIA LONGILOBA
Gardens’ Bulletin Singapore 50 (322) (1998),https://www.biodiversitylibrary.org/page/43660627,biodiversitylibrary.org,1,ALOCASIA KERINCIENSIS
Gardens’ Bulletin Singapore 50 P.242 (1998),https://www.biodiversitylibrary.org/page/43660547,biodiversitylibrary.org,1,ALOCASIA PUBER
Gardens’ Bulletin Singapore 50 P.247 (1998),https://www.biodiversitylibrary.org/page/43660552,biodiversitylibrary.org,1,ALOCASIA SARAWAKENSIS
Gardens’ Bulletin Singapore 50 P.257 (1998),https://www.biodiversitylibrary.org/page/43660562,biodiversitylibrary.org,1,ALOCASIA REGINAE
Gardens’ Bulletin Singapore 50 P.258 (1998),https://www.biodiversitylibrary.org/page/43660563,biodiversitylibrary.org,1,ALOCASIA REGINULA
Gardens’ Bulletin Singapore 50 P.263 (1998),https://www.biodiversitylibrary.org/page/43660568,biodiversitylibrary.org,1,ALOCASIA RIDLEYI
Gardens’ Bulletin Singapore 50 P.266 (1998),https://www.biodiversitylibrary.org/page/43660571,biodiversitylibrary.org,1,ALOCASIA PRINCEPS
Gardens’ Bulletin Singapore 50 P.275 (1998),https://www.biodiversitylibrary.org/page/43660580,biodiversitylibrary.org,1,ALOCASIA PUTERI
